z-score,corr thresholds,corr selection method,total sr,in-sample sr,out-sample sr
1.0,"(0.9, 0.8)",MAX CORR,-0.6507426991672144,-1.6229778432776298,0.841229998195887
1.0,"(0.9, 0.8)",MIN CORR,-0.2527025408267335,-1.256010930552529,1.0304961438357902
1.0,"(0.95, 0.9)",MAX CORR,-0.2069879623967908,-0.6801779684326995,0.4429452626398012
1.0,"(0.95, 0.9)",MIN CORR,-0.7429957654634999,-0.8815472159780622,-0.5575189982221558
1.5,"(0.9, 0.8)",MAX CORR,0.3102077752955775,-0.628967870879385,1.6072109949337223
1.5,"(0.9, 0.8)",MIN CORR,0.4966941251210693,-0.5094789219832413,1.779659618448913
1.5,"(0.95, 0.9)",MAX CORR,-0.0391824775229972,-0.6955108306125317,0.8503948608392996
1.5,"(0.95, 0.9)",MIN CORR,-0.3828726367767001,-0.9539506093089186,0.4386517363839466
2.0,"(0.9, 0.8)",MAX CORR,0.5339639522746832,-0.4688222568796411,1.86944312318379
2.0,"(0.9, 0.8)",MIN CORR,1.030522485081283,-0.7452115436444683,3.089597029819476
2.0,"(0.95, 0.9)",MAX CORR,0.3867553480392607,-0.4501394765391736,1.4051853859715464
2.0,"(0.95, 0.9)",MIN CORR,0.414109557690187,-0.5545833868180166,1.624823147858277
2.5,"(0.9, 0.8)",MAX CORR,0.0160517458956371,-0.7694044839101751,1.0524619991450408
2.5,"(0.9, 0.8)",MIN CORR,0.1240799690125391,-1.005411905532261,1.503360742461265
2.5,"(0.95, 0.9)",MAX CORR,-0.0682164007662708,-0.5804081352743427,0.5264231490782167
2.5,"(0.95, 0.9)",MIN CORR,0.165585740533335,-0.4523825186714413,0.9699923952986752
3.0,"(0.9, 0.8)",MAX CORR,0.2966362494080564,-0.5159557047161004,1.341427615070143
3.0,"(0.9, 0.8)",MIN CORR,0.456817035405614,-0.7110592241934439,1.7263917783118077
3.0,"(0.95, 0.9)",MAX CORR,0.1289001988355122,-0.5264509486453148,0.941551119251437
3.0,"(0.95, 0.9)",MIN CORR,0.5605765558919189,-0.07466869910595232,1.4956410118456134
