z-score,corr thresholds,corr selection method,total sr,in-sample sr,out-sample sr
"(1.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,-1.3032039516679734,-3.9520539333661486,2.465179788773985
"(1.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-1.5943037772895057,-3.744697971273188,1.3807277352599634
"(1.0, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MAX_CORR,-0.4296238681664313,-1.83186850035822,1.852140909584993
"(1.0, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MIN_CORR,-0.5824688974919884,-2.5112961499042203,2.285508236127108
"(1.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,-0.5028913561442165,-2.636337719977728,2.2823534875194667
"(1.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-0.6871039086735959,-2.8124353255993984,1.9399237615423133
"(1.5, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MAX_CORR,0.3068821095572469,-1.429178021053752,2.5350208503459646
"(1.5, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MIN_CORR,0.4436874051135018,-1.4343494002689996,2.666417862549447
"(2.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.3296740798634614,-1.7118080344916868,2.616289902484644
"(2.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-0.076983060593252,-2.24648564052777,2.3378708223224662
"(2.0, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MAX_CORR,0.8308710206871379,-1.0438947397110971,2.88941520980386
"(2.0, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MIN_CORR,0.8208057932522551,-0.6525413087511174,2.440225892703657
"(2.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.7292937528364768,-0.8220867902889692,2.3901610069445645
"(2.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,0.5926562715577335,-0.9423339589045908,2.3017372414871526
"(2.5, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MAX_CORR,0.7737236718712979,-0.8136217069184556,2.3906230944855267
"(2.5, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MIN_CORR,0.7540624422396239,-0.4301848942176927,2.021952730610564
"(3.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,1.0213044743116542,0.0098025276679448,2.0748828279005043
"(3.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,1.114457835769207,0.1123993475683312,2.1967767697516343
"(3.0, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MAX_CORR,0.5616367769480424,-0.6671481664317781,1.845489896482945
"(3.0, 10.0)","(0.95, 0.9)",CorrSelectionMethod.MIN_CORR,0.4033804949795145,-0.40821087184153537,1.3004678936537064
