z-score,corr thresholds,corr selection method,total sr,in-sample sr,out-sample sr
"(1.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,-1.2754384673994763,-3.9520539333661486,2.521615347446385
"(1.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-1.5577797776983018,-3.744697971273188,1.4506929698849789
"(1.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,-1.089468617606701,-3.163228602608223,1.871008722977737
"(1.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,-0.4072874527728402,-2.9814351354152184,3.2828837157210464
"(1.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,-0.4537293949063887,-2.636337719977728,2.3811180256815265
"(1.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-0.6175599833875399,-2.8124353255993984,2.0783829700685974
"(1.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,-0.4430168426811818,-2.039363944918867,1.9940335267277585
"(1.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,0.8594855306902476,-2.1516338857549018,4.300124995238425
"(2.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.3654651162055472,-1.7118080344916868,2.6816166960692747
"(2.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-0.0259853453972011,-2.24648564052777,2.430646805377308
"(2.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.3096314997959489,-1.414775461553648,2.7634512916686083
"(2.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,1.2047419878472507,-1.1933048959940828,3.527753879640023
"(2.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.7626296567198335,-0.8220867902889692,2.4486135629889194
"(2.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,0.6258563366631266,-0.9423339589045908,2.3600549024639843
"(2.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.1492546447007459,-1.067069334967218,1.8090342222326297
"(2.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,1.065306978819627,-0.4937147443432766,2.421547784064448
"(3.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,1.021032202481583,0.0098025276679448,2.073552293814948
"(3.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,1.1141607030053136,0.1123993475683312,2.19536773617404
"(3.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.3247573582290689,-0.5547226549787495,1.5706720770995473
"(3.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,1.040020897254675,0.4463267163921474,1.5601407836121455
