z-score,corr thresholds,corr selection method,total sr,in-sample sr,out-sample sr
"(1.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,-0.6459260779267941,-1.6229778432776298,0.8496431824654427
"(1.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,-0.256553146349972,-1.256010930552529,1.015533161057289
"(1.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,-0.0223240288411497,-1.15014802777539,1.5705920859589209
"(1.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,-0.12189796016596,-1.3802944890002125,1.3955552721343314
"(1.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.3058826635667768,-0.628967870879385,1.5945121826200006
"(1.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,0.4970507604660697,-0.5094789219832413,1.7719963071243343
"(1.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.4292242647364878,-1.0148621500397697,2.592296346127834
"(1.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,0.1809884285467735,-1.3532569877611964,1.779181877495981
"(2.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.5304822584149613,-0.4688222568796411,1.8595314063881685
"(2.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,1.044376716819517,-0.7452115436444683,3.1132999121406324
"(2.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.409129575084067,-0.8310644074936399,1.9405816555951283
"(2.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,0.4836441838983562,-1.0891586029698614,2.0933740025000804
"(2.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.0122796311061055,-0.7694044839101751,1.0423246262134298
"(2.5, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,0.1202916162149181,-1.005411905532261,1.4930765194892912
"(2.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.5604098594994801,-0.6798308377615835,1.9643730752644777
"(2.5, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,0.5603016364943709,-0.6425850565434597,1.6821769213099431
"(3.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MAX_CORR,0.2964781354289794,-0.5159557047161004,1.3397086284010686
"(3.0, 10.0)","(0.9, 0.8)",CorrSelectionMethod.MIN_CORR,0.4565735279544348,-0.7110592241934439,1.7241782849608915
"(3.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MAX_CORR,0.4575331854975915,-0.4332535458589924,1.4006844977485822
"(3.0, 10.0)","(0.85, 0.7)",CorrSelectionMethod.MIN_CORR,0.9967849851020513,0.05942226567864504,1.9764175574701042
